Tên Món,Loại Món,Nguyên Liệu Chính,Cách Chế Biến,Chi Phí Dự Báo 2026 (VND),Calo Ước Tính (cho 1 suất)
Sườn non luộc,Luộc,"- Sườn non: 500g
- Gừng, hành","1. Sơ chế: Sườn chần sơ.
2. Luộc: Nước sôi + gừng + hành, luộc 25–30 phút.
3. Ăn kèm: Muối tiêu chanh hoặc mắm nêm.",~180.000,~350 kcal
Lòng heo luộc,Luộc,"- Lòng già/non: 500g
- Gừng, giấm, muối","1. Sơ chế: Lòng bóp kỹ với muối + giấm + chanh.
2. Luộc: Nước sôi + gừng, luộc 10–15 phút.
3. Vớt ra: Ngâm nước lạnh cho giòn.",~160.000,~280 kcal
Bò luộc,Luộc,"- Bắp bò/nạm: 600g
- Gừng, sả, hành tím","1. Sơ chế: Thịt chần sơ.
2. Luộc: Nước sôi + gừng + sả, luộc 45–60 phút.
3. Vớt ra: Để nguội, thái mỏng.",~280.000,~320 kcal
Chân giò luộc,Luộc,"- Chân giò trước: 800g
- Gừng, hành, muối","1. Sơ chế: Cạo sạch lông, chần sơ.
2. Luộc: Nước sôi + gừng + hành, luộc 1.5–2 tiếng.
3. Vớt ra: Ngâm nước lạnh cho da giòn.",~220.000,~420 kcal
Thịt bò tái chanh (luộc tái),Luộc,"- Thịt bò nạc: 400g
- Chanh, gừng","1. Sơ chế: Thịt thái lát mỏng.
2. Chần: Nhúng vào nước sôi 10–15 giây.
3. Vớt ra: Trộn với chanh, gừng, rau thơm.",~200.000,~250 kcal
Bánh chưng/bánh tét (luộc),Luộc,"- Gạo nếp, đậu xanh, thịt heo: 1 bánh (~1.2kg)","1. Gói bánh chặt tay.
2. Luộc: Nước ngập, luộc 8–10 tiếng (bánh chưng), 6–8 tiếng (bánh tét).
3. Ép nước: Sau khi luộc, ép dưới vật nặng.",~120.000/bánh,~500 kcal/lát
Bánh đa cua (sợi bánh đa luộc),Luộc,- Bánh đa khô: 400g,"1. Sơ chế: Ngâm nước 10 phút.
2. Luộc: Nước sôi, luộc 3–5 phút.
3. Xả nước lạnh: Tránh dính, dùng làm bánh đa cua.",~40.000,~280 kcal
"Thịt heo nướng (xiên que, lá lốt, mật ong...)",Nướng,"- Thịt nạc vai/ba chỉ: 500g
- Sả, hành, tỏi, mật ong, nước mắm, ngũ vị hương","1. Sơ chế: Thịt thái miếng/mỏng, ướp với hành tỏi băm + sả băm + mật ong + nước mắm + ngũ vị hương 2–4 tiếng.
2. Xiên: Xiên que tre (ngâm nước trước).
3. Nướng: Nướng than hoa hoặc lò 200°C, lật đều tay, phết sốt khi gần chín.
4. Ăn kèm: Bún, rau sống, nước mắm chua ngọt.",~180.000,~380 kcal
"Thịt bò nướng (lụi, mỡ chài, sa tế...)",Nướng,"- Thịt bò nạc: 500g
- Mỡ chài (nếu có), sả, ớt, sa tế, dầu hào","1. Sơ chế: Bò xay hoặc thái mỏng, trộn với sả + sa tế + dầu hào.
2. Quấn: Quấn quanh que hoặc bọc mỡ chài.
3. Nướng: Nướng than/lò 180–200°C, 10–15 phút.
4. Hoàn thiện: Phết mỡ hành khi nướng xong.",~250.000,~420 kcal
"Gà nướng (muối ớt, mật ong, lá chanh...)",Nướng,"- Gà ta/đùi gà: 800g
- Muối ớt, mật ong, lá chanh, gừng","1. Sơ chế: Gà làm sạch, khía nhẹ.
2. Ướp: Với muối ớt hoặc hỗn hợp mật ong + nước mắm + lá chanh 2–3 tiếng.
3. Nướng: Nướng than/lò 200°C, 30–40 phút, phết sốt định kỳ.
4. Ăn kèm: Muối tiêu chanh.",~280.000,~450 kcal
Vịt nướng,Nướng,"- Vịt: 1 con (~1.5kg)
- Ngũ vị hương, mật ong, rượu, gừng","1. Sơ chế: Vịt xát gừng + rượu, rửa sạch.
2. Ướp: Bên trong nhồi gừng + hành, bên ngoài phết hỗn hợp mật ong + ngũ vị hương.
3. Nướng: Lò 180°C, 60–75 phút, quay đều.
4. Hoàn thiện: Da vàng giòn, thịt thơm.",~360.000,~500 kcal
"Cá nướng (riềng mẻ, muối ớt, giấy bạc...)",Nướng,"- Cá diêu hồng/lóc: 1 con (~800g)
- Riềng, mẻ, nghệ, mắm tôm hoặc muối ớt","1. Sơ chế: Cá làm sạch, khứa vảy.
2. Ướp: Trộn riềng giã + mẻ + nghệ + mắm tôm (hoặc muối ớt) 30–60 phút.
3. Nướng: Bọc giấy bạc hoặc nướng trực tiếp trên than 20–25 phút.
4. Ăn kèm: Bún, rau sống.",~220.000,~320 kcal
"Tôm nướng (muối ớt, mỡ hành...)",Nướng,"- Tôm sú: 500g
- Muối ớt, mỡ hành, chanh","1. Sơ chế: Tôm để nguyên vỏ, chẻ lưng.
2. Nướng: Nướng than/lò 200°C, 8–10 phút.
3. Phết: Rưới mỡ hành khi chín.
4. Ăn kèm: Muối ớt chanh.",~260.000,~220 kcal
"Mực nướng (sa tế, muối ớt...)",Nướng,"- Mực ống: 500g
- Sa tế, muối ớt, chanh","1. Sơ chế: Mực làm sạch, để nguyên con hoặc khứa vảy.
2. Nướng: Nướng than/lò 200°C, 6–8 phút mỗi mặt.
3. Ăn kèm: Muối ớt chanh hoặc tương ớt.",~270.000,~230 kcal
"Sườn nướng (sa tế, sốt BBQ...)",Nướng,"- Sườn non: 600g
- Tỏi, hành, mật ong, nước mắm, sốt BBQ","1. Sơ chế: Sườn chặt miếng vừa.
2. Ướp: Với hành tỏi + mật ong + nước mắm + sốt BBQ 2–4 tiếng.
3. Nướng: Nướng than/lò 200°C, 25–30 phút, phết sốt liên tục.
4. Hoàn thiện: Mềm, caramel hóa bề mặt.",~240.000,~480 kcal
"Chả nướng (chả lụa, chả cá...)",Nướng,- Chả lụa/chả cá: 400g,"1. Sơ chế: Cắt lát dày hoặc để nguyên cây.
2. Nướng: Nướng than/lò 180°C, 5–10 phút cho nóng và thơm.
3. Ăn kèm: Bánh cuốn, cơm tấm, rau sống.",~150.000,~350 kcal
Bánh mì nướng,Nướng,"- Bánh mì baguette: 2 ổ
- Bơ, tỏi, hành lá","1. Pha bơ: Trộn bơ + tỏi băm + hành lá.
2. Phết: Phết lên bánh mì.
3. Nướng: Lò 180°C, 5–7 phút đến khi vàng giòn.
4. Ăn kèm: Như món khai vị hoặc ăn sáng.",~50.000,~280 kcal
Khoai lang/khoai mỳ nướng,Nướng,- Khoai lang/mì: 500g,"1. Sơ chế: Rửa sạch, để nguyên vỏ.
2. Nướng: Nướng than/lò 200°C, 45–60 phút đến khi mềm.
3. Ăn nóng: Bóc vỏ, chấm muối vừng.",~40.000,~180 kcal
Ngô nướng mỡ hành,Nướng,"- Ngô ngọt: 4 trái
- Hành lá, dầu ăn","1. Sơ chế: Ngô bóc lớp ngoài, để vài lá.
2. Nướng: Nướng than 20–25 phút, lật đều.
3. Phết: Rưới mỡ hành khi chín.",~60.000,~200 kcal
Nấm nướng,Nướng,"- Nấm đùi gà/rơm: 300g
- Dầu oliu, muối, tiêu, tỏi","1. Sơ chế: Nấm rửa sạch, để ráo.
2. Ướp: Trộn với dầu oliu + tỏi + muối + tiêu.
3. Nướng: Lò 200°C hoặc than, 10–15 phút.
4. Ăn kèm: Như món chay hoặc ăn kèm thịt.",~90.000,~120 kcal
Ốc nướng tiêu/mỡ hành,Nướng,"- Ốc len/bươu: 600g
- Mỡ hành, tiêu, ớt","1. Sơ chế: Ốc rửa sạch.
2. Nướng: Đặt ốc lên than, nướng 8–10 phút.
3. Rưới: Mỡ hành + tiêu khi chín.
4. Ăn kèm: Rau răm, muối ớt.",~180.000,~160 kcal
Ngao nướng mỡ hành,Nướng,"- Ngao: 800g
- Hành lá, dầu ăn","1. Sơ chế: Ngao ngâm sạch.
2. Nướng: Đặt ngao lên vỉ, nướng 5–7 phút đến khi há miệng.
3. Rưới: Mỡ hành khi chín.",~170.000,~150 kcal
Hàu nướng mỡ hành/phô mai,Nướng,"- Hàu sữa: 500g
- Hành lá, phô mai Mozzarella (nếu có)","1. Sơ chế: Hàu tách vỏ, giữ nước.
2. Nướng: Đặt trên than/lò 200°C.
3. Rưới: Mỡ hành hoặc rắc phô mai, nướng 5–7 phút.
4. Ăn nóng: Với chanh hoặc muối tiêu.",~300.000,~180 kcal
Ba chỉ nướng,Nướng,"- Thịt ba chỉ: 500g
- Muối ớt, chanh","1. Sơ chế: Thịt cắt miếng dày.
2. Nướng: Nướng than, lật đều đến khi cháy cạnh, mỡ chảy ra.
3. Ăn kèm: Rau sống, bún, mắm nêm.",~170.000,~420 kcal
Cơm nắm nướng,Nướng,"- Cơm nguội: 4 nắm
- Muối vừng, lá chuối","1. Nắm cơm: Trộn cơm với muối vừng, nắm chặt.
2. Bọc: Gói lá chuối.
3. Nướng: Nướng than 10–15 phút.
4. Ăn kèm: Mắm, cà pháo.",~50.000,~250 kcal
Lươn nướng,Nướng,"- Lươn đồng: 500g
- Riềng, mẻ, nghệ, mắm tôm","1. Sơ chế: Lươn làm sạch, để nguyên con.
2. Ướp: Với riềng + mẻ + nghệ + mắm tôm 30 phút.
3. Nướng: Nướng than 15–20 phút, phết mỡ.
4. Ăn kèm: Bún, rau thơm.",~320.000,~350 kcal
Chim nướng,Nướng,"- Chim cút/chim sẻ: 6 con
- Muối ớt, lá chanh","1. Sơ chế: Chim làm sạch, để nguyên con.
2. Ướp: Với muối ớt + lá chanh 30 phút.
3. Nướng: Nướng than 15–20 phút.
4. Ăn kèm: Muối tiêu chanh.",~250.000,~280 kcal
Lẩu Thái (chua cay),Lẩu,"- Xương gà/heo: 500g
- Tôm, mực, cá viên: 400g
- Cà chua, dứa, me, sả, ớt, riềng, nấm rơm","1. Nấu nước dùng: Hầm xương 1 tiếng.
2. Xào thơm: Sả + riềng + ớt + cà chua.
3. Nấu lẩu: Cho vào nước dùng, thêm dứa + me + nấm.
4. Ăn kèm: Bún, rau muống, bạc hà.",~380.000,~420 kcal
Lẩu riêu cua,Lẩu,"- Cua đồng: 600g
- Cà chua, đậu phụ, giấm bỗng, hành lá","1. Giã cua, lọc lấy nước.
2. Riêu: Đun nước cua, để riêu nổi.
3. Xào cà chua, cho vào nồi.
4. Nêm: Giấm bỗng, cho đậu chiên vào. Ăn với bún.",~280.000,~320 kcal
Lẩu cá kèo,Lẩu,"- Cá kèo sống: 600g
- Dọc mùng, đậu bắp, cà chua, me, rau nhút","1. Làm sạch cá, ngâm nước vo gạo.
2. Nấu nước dùng từ xương heo.
3. Cho me + cà chua + rau vào.
4. Nhúng cá khi ăn (cá chín rất nhanh).",~320.000,~350 kcal
Lẩu cá diêu hồng,Lẩu,"- Cá diêu hồng: 1 con (~800g)
- Cà chua, dọc mùng, me, thì là, dứa","1. Phi thơm cà chua + dứa.
2. Nấu nước dùng, cho cá vào nấu 10 phút.
3. Thêm rau, nêm me chua.
4. Ăn kèm: Bún, rau sống.",~350.000,~360 kcal
Lẩu cá lăng,Lẩu,"- Cá lăng: 800g
- Măng chua, cà chua, dọc mùng, thì là","1. Cá làm sạch, cắt khúc.
2. Xào măng + cà chua, cho vào nước dùng.
3. Nấu cá 10–15 phút.
4. Ăn nóng với bún.",~420.000,~380 kcal
Lẩu gà lá é,Lẩu,"- Gà ta: 1 con (~1kg)
- Lá é tía, sả, ớt, nấm","1. Hầm gà 45 phút.
2. Cho lá é + sả + ớt vào cuối cùng.
3. Ăn kèm: Bún, rau rừng. Hương vị đặc trưng Tây Nguyên.",~360.000,~370 kcal
Lẩu gà măng cay,Lẩu,"- Gà: 1kg
- Măng chua: 300g
- Ớt, sả, hành","1. Hầm gà lấy nước ngọt.
2. Xào măng + sả + ớt, cho vào nồi.
3. Nấu 20 phút, nêm gia vị.
4. Ăn kèm: Bún, rau sống.",~340.000,~390 kcal
Lẩu bò,Lẩu,"- Thịt bò tái/thăn: 500g
- Nạm/gân: 300g
- Mắm nêm, thơm, khế, rau chuối","1. Hầm gân/nạm 1.5 tiếng.
2. Pha mắm nêm với thơm + ớt.
3. Nhúng thịt bò tái khi ăn.
4. Ăn kèm: Bún, rau sống.",~450.000,~480 kcal
Lẩu dê,Lẩu,"- Thịt dê: 800g
- Sả, gừng, rượu, nấm, rau mồng tơi","1. Khử mùi: Xát gừng + rượu, chần sơ.
2. Hầm dê 1 tiếng với sả.
3. Ăn kèm: Bún, mắm tôm, rau.",~520.000,~460 kcal
Lẩu hải sản,Lẩu,"- Tôm, mực, nghêu, cá: 800g tổng
- Cà chua, dứa, me, nấm","1. Nấu nước dùng từ đầu cá/tép.
2. Xào cà chua + dứa, cho vào nồi.
3. Thêm hải sản khi ăn (tránh nấu lâu).
4. Ăn kèm: Bún, rau.",~480.000,~400 kcal
Lẩu nấm,Lẩu,"- Nấm các loại: 500g
- Đậu hũ, ngô, cà rốt, rau củ","1. Nấu nước dùng rau củ hoặc xương.
2. Cho nấm + đậu hũ vào.
3. Nêm: Nước tương, tiêu.
4. Ăn kèm: Bún hoặc mì.",~220.000,~280 kcal
Lẩu cua đồng,Lẩu,"- Cua đồng: 600g
- Rau đay, mồng tơi, mướp, mẻ","1. Giã cua, lọc nước.
2. Đun riêu, vớt ra.
3. Nấu nước lẩu, cho rau + mẻ.
4. Cho riêu lên mặt khi ăn.",~260.000,~300 kcal
Lẩu đầu cá hồi,Lẩu,"- Đầu cá hồi: 2 cái (~600g)
- Cà chua, dứa, me, thì là","1. Chiên sơ đầu cá.
2. Xào cà chua + dứa, cho vào nước dùng.
3. Nấu đầu cá 15 phút.
4. Ăn kèm: Bún, rau.",~420.000,~420 kcal
Lẩu thập cẩm,Lẩu,"- Thịt, hải sản, nấm, đậu hũ: 1kg tổng
- Cà chua, me, rau","1. Nấu nước dùng xương.
2. Xào cà chua, cho vào nồi.
3. Sắp nguyên liệu quanh nồi, nhúng khi ăn.
4. Ăn kèm: Bún/mì.",~400.000,~450 kcal
Lẩu vịt,Lẩu,"- Vịt: 1 con (~1.2kg)
- Măng chua, gừng, sả","1. Khử mùi vịt bằng gừng + rượu.
2. Hầm vịt 1 tiếng với sả.
3. Xào măng, cho vào nồi.
4. Ăn kèm: Bún, mắm gừng.",~460.000,~440 kcal
Lẩu ếch,Lẩu,"- Ếch đồng: 800g
- Cà chua, me, dọc mùng, rau nhút","1. Ếch làm sạch, ướp nhẹ.
2. Xào ếch săn, cho vào nước dùng.
3. Thêm rau + me, nấu 10 phút.
4. Ăn kèm: Bún.",~380.000,~360 kcal
Lẩu sườn sụn,Lẩu,"- Sườn sụn heo: 800g
- Cà chua, dứa, me, nấm","1. Hầm sườn sụn 1.5 tiếng cho mềm.
2. Xào cà chua + dứa, cho vào nồi.
3. Nêm me, thêm nấm.
4. Ăn kèm: Bún.",~360.000,~420 kcal
Lẩu cháo,Lẩu,"- Gạo: 200g
- Gà/ếch/cá: 600g
- Gừng, hành, rau","1. Nấu cháo loãng từ nước hầm xương.
2. Cho thịt vào nấu chín.
3. Ăn nóng, không cần nhúng.",~300.000,~380 kcal
Lẩu cá basa,Lẩu,"- Cá basa: 800g
- Cà chua, dọc mùng, me, thì là","1. Cá cắt khúc, ướp nhẹ.
2. Xào cà chua, cho vào nước dùng.
3. Nấu cá 10 phút.
4. Ăn kèm: Bún.",~320.000,~340 kcal
Lẩu kim chi,Lẩu,"- Kim chi cải thảo: 300g
- Thịt heo/thái: 400g
- Tàu hũ, nấm, hành lá","1. Xào kim chi + thịt.
2. Cho nước dùng, đun sôi.
3. Thêm đậu hũ + nấm.
4. Ăn kèm: Cơm hoặc mì.",~340.000,~400 kcal
Lẩu tôm,Lẩu,"- Tôm sú: 600g
- Cà chua, dứa, me, nấm rơm","1. Xào tôm + cà chua.
2. Cho nước dùng, thêm dứa + me.
3. Nấu 10 phút, thêm nấm.
4. Ăn kèm: Bún.",~420.000,~380 kcal
Lẩu cà muối,Lẩu,"- Cà pháo muối chua: 200g
- Thịt ba chỉ, sườn non: 500g
- Cà chua, me","1. Xào thịt + cà chua.
2. Cho cà muối + nước dùng.
3. Nêm me, nấu 20 phút.
4. Ăn kèm: Bún, rau sống.",~280.000,~360 kcal
Lẩu bò nhúng dấm,Lẩu,"- Thịt bò tái: 500g
- Dấm, đường, tỏi, hành tây, dưa leo, chuối xanh","1. Pha nước dấm: Dấm + đường + tỏi + ớt.
2. Luộc gân bò làm nước dùng.
3. Nhúng bò tái vào nước dấm khi ăn.
4. Cuốn bánh tráng với rau.",~400.000,~420 kcal
Lẩu gà ủ muối,Lẩu,"- Gà ta: 1 con
- Muối hột, sả, lá chanh","1. Lót nồi muối + sả + lá chanh.
2. Đặt gà lên trên (không chạm muối).
3. Ủ kín, hấp 60–75 phút.
4. Lấy nước gà làm nước lẩu, nhúng rau.",~380.000,~350 kcal
Lẩu đuôi bò,Lẩu,"- Đuôi bò: 800g
- Cà chua, me, sả, nấm","1. Hầm đuôi bò 2–2.5 tiếng cho mềm.
2. Xào cà chua + sả, cho vào nồi.
3. Nêm me, thêm nấm.
4. Ăn kèm: Bún.",~480.000,~460 kcal
